Date,Open,High,Low,Close,Volume
2004-06-23 00:00:00-04:00,3.733426028,4.305884496,3.671202261,4.280995369,43574400
2004-06-24 00:00:00-04:00,4.368107977,4.402953607,4.106768362,4.171481133,8887200
2004-06-25 00:00:00-04:00,4.109257841,4.168992603,3.930053316,3.932542324,6710000
2004-06-28 00:00:00-04:00,3.982321024,4.03458876,3.842939684,3.982321024,2270800
2004-06-29 00:00:00-04:00,3.982321204,4.156547946,3.940009022,4.081879139,2112000
2004-06-30 00:00:00-04:00,4.081879297,4.216282871,3.989788382,3.999743938,2087600
2004-07-01 00:00:00-04:00,4.002232619,4.032100235,3.957431431,3.989788055,1754800
2004-07-02 00:00:00-04:00,4.007210794,4.226238251,3.994765756,4.226238251,993200
2004-07-06 00:00:00-04:00,4.213793376,4.231215954,4.101790411,4.231215954,1216800
2004-07-07 00:00:00-04:00,4.206326406,4.206326406,3.994765511,4.059478283,1787600
2004-07-08 00:00:00-04:00,4.059478372,4.059478372,3.897696675,3.917608261,2179200
2004-07-09 00:00:00-04:00,3.967387395,4.124191321,3.957431601,4.081879139,596800
2004-07-12 00:00:00-04:00,4.131658826,4.188904586,4.019655839,4.168992996,780800
2004-07-13 00:00:00-04:00,4.166503253,4.166503253,4.002232552,4.002232552,1674000
2004-07-14 00:00:00-04:00,3.994765818,3.994765818,3.877785302,3.895207882,2366000
2004-07-15 00:00:00-04:00,3.920097325,3.932542125,3.718492215,3.818050385,1806000
2004-07-16 00:00:00-04:00,3.832983891,4.081878955,3.723470167,3.982321024,3278800
2004-07-19 00:00:00-04:00,3.99476567,4.024633287,3.940008926,3.984810114,954800
2004-07-20 00:00:00-04:00,3.984809809,4.027121987,3.865340062,3.997254372,2245200
2004-07-21 00:00:00-04:00,4.007210598,4.007210598,2.750290486,2.912072182,25415200
2004-07-22 00:00:00-04:00,2.874738036,3.280437019,2.81251427,3.230657816,9824800
2004-07-23 00:00:00-04:00,3.223191047,3.36008338,3.173412081,3.24559164,1674400
2004-07-26 00:00:00-04:00,3.372528245,3.372528245,3.205768529,3.305326462,1286000
2004-07-27 00:00:00-04:00,3.330215866,3.342660666,3.260525317,3.27048111,751200
2004-07-28 00:00:00-04:00,3.248080475,3.290392653,3.136077749,3.233146667,1534800
2004-07-29 00:00:00-04:00,3.235635906,3.322749275,3.223191105,3.225680113,908000
2004-07-30 00:00:00-04:00,3.225680047,3.285414805,3.123633108,3.238124847,815200
2004-08-02 00:00:00-04:00,3.230658094,3.255547697,3.128611147,3.188346148,1297600
2004-08-03 00:00:00-04:00,3.18585705,3.258036613,2.984251932,3.019097328,2944400
2004-08-04 00:00:00-04:00,3.019097048,3.024074826,2.974295862,2.981762648,2746800
2004-08-05 00:00:00-04:00,2.984251594,2.984251594,2.658199212,2.712955952,3030400
2004-08-06 00:00:00-04:00,2.712956077,2.737845678,2.66566612,2.680599928,1797200
2004-08-09 00:00:00-04:00,2.725400777,2.750290377,2.703000184,2.735356569,1121600
2004-08-10 00:00:00-04:00,2.737845898,2.747801691,2.707978516,2.737845898,733200
2004-08-11 00:00:00-04:00,2.725400836,2.725400836,2.6357987,2.643265486,628400
2004-08-12 00:00:00-04:00,2.66815516,2.67064393,2.469039061,2.486461639,1578000
2004-08-13 00:00:00-04:00,2.486461448,2.501395255,2.357036147,2.386903524,2496000
2004-08-16 00:00:00-04:00,2.389392882,2.451616653,2.240055738,2.419260263,2171200
2004-08-17 00:00:00-04:00,2.459083428,2.735356883,2.459083428,2.730379105,2968000
2004-08-18 00:00:00-04:00,2.712956,3.024074818,2.658199259,2.974295855,1697600
2004-08-19 00:00:00-04:00,2.974295992,3.048964559,2.912072225,3.029052973,1309600
2004-08-20 00:00:00-04:00,3.11118828,3.285414776,2.959362377,3.136077881,4034800
2004-08-23 00:00:00-04:00,3.160967137,3.2231909,3.07634278,3.111188173,1127600
2004-08-24 00:00:00-04:00,3.136077847,3.180878796,3.09127666,3.178390026,1072400
2004-08-25 00:00:00-04:00,3.18585694,3.248080707,3.111188371,3.225680113,1200800
2004-08-26 00:00:00-04:00,3.228169105,3.23563589,3.188345932,3.210746288,471200
2004-08-27 00:00:00-04:00,3.235636033,3.287904009,3.21074643,3.2729702,463600
